id,x,y
0,5.4749372373,5.5792386798
1,6.5112566475,4.4196684236
2,7.2871586454,4.5504838365
3,5.7739381675,4.8311054641
4,8.2525547519,4.8450643286
5,5.7401816917,4.7851568802
6,6.6875101317,4.8195014794
7,7.1890294017,4.6256516440
8,5.0658281170,5.7704560214
9,5.4619530471,5.2579060224
10,7.6457017689,4.4914416692
11,5.2176585038,5.7066389165
12,7.5267543413,4.4833139985
13,8.8143037834,4.4637714483
14,7.6364895093,4.5412044247
15,6.7475057397,4.4451029120
16,6.1932854093,4.4031597066
17,8.5624124685,4.6039700619
18,6.5478748405,4.6435353623
19,6.6455561532,4.3600806483
20,6.7424424389,4.7510967870
21,6.4080088385,4.4778378247
22,5.6063763730,5.2725899871
23,6.8797245758,4.5136182244
24,5.3595805401,5.6806530397
25,8.2900327205,4.7186947051
26,8.6372883303,4.4887344067
27,5.4477596989,5.6661863427
28,6.9346049566,4.6029313528
29,5.6533666268,4.8239627362
30,6.7395757062,4.7720571662
31,6.7632371105,4.8270288552
32,5.6347637165,5.4275322165
33,8.4934224395,4.7129430998
34,5.7120577213,5.4794389713
35,6.7097537288,4.5154480745
36,6.3100146397,4.5912325342
37,8.6882958884,4.5426488487
38,6.6539124177,4.5733078827
39,6.7378742851,4.4960620208
40,6.3055223586,4.3071175646
41,6.7795628202,4.4637106904
42,5.3872279316,5.3548835796
43,8.6834091594,4.6688887024
44,6.8990275858,4.6547498270
45,5.4531408458,5.6861853869
46,8.7196605433,4.7435757815
47,5.8762652345,4.5392048353
48,6.6223234340,4.3520467716
49,6.9505984943,4.6140874688
50,8.6182730905,4.5615997065
51,6.6761178247,4.6917011119
52,5.4391559525,5.8926879260
53,5.4146712290,5.8692669599
54,8.5269491129,4.7130274216
55,5.2764192491,5.8643040943
56,5.6297901747,4.9106782907
57,6.2420353614,4.3627187366
58,8.3169677383,4.6726223030
59,6.3489424925,4.3407015365
60,5.8207666074,4.8645305117
61,5.7271874966,4.6380142694
62,5.7585840323,4.8475598924
63,5.1893542997,5.7840931373
64,5.6212855247,5.4660740942
65,7.0377542536,4.6559682625
66,5.6611060728,4.6180686590
67,5.6198001158,5.5231846453
68,5.2201000791,5.6696594737
69,8.5351953114,4.5590418782
70,8.5172917841,4.7830250548
71,6.1892649357,4.5935543628
72,6.3577031151,4.5745111470
73,8.2793605224,4.6474777998
74,6.5007839994,4.4532611676
75,6.9552567237,4.5616916578
76,7.5050552254,4.5635825260
77,6.7686578071,4.6180863177
78,5.5963318453,5.4467849766
79,6.9395175515,4.4457700553
80,6.4631830737,4.3301500922
81,5.6708196507,5.5179606768
82,8.6371909040,4.5300783645
83,5.4217040484,5.8953458267
84,5.9555957732,4.4406697016
85,5.5726596409,5.7041048628
86,6.4405487663,4.5543210107
87,5.7815562196,4.8508481666
88,6.6896388610,4.4585771940
89,8.5113784662,4.6307235022
90,6.5616489755,4.4291225523
91,8.6166391127,4.6039283875
92,5.3460603941,5.7546251876
93,6.3240061487,4.3908005217
94,6.6199301970,4.6772834724
95,5.6559547781,5.6333143119
96,8.8635054326,4.5332916924
97,8.3043982710,4.7648557138
98,5.7639950327,4.6322894398
99,8.8993181211,4.5978351405
